Artist,Spotify Followers,Spotify Popularity,YouTube Views,YouTube Subscribers
Jorge Ben Jor,1127134,66,199588493,313000
Djavan,3364835,71,822395849,1330000
Tim Maia,2155588,68,411295594,247000
Gilberto Gil,1444431,67,193967867,591000
Caetano Veloso,2473836,68,554031369,1120000
Chico Buarque,1630391,65,126164165,187000
Rita Lee,1587852,66,210307608,472000
Maria Bethânia,1406167,64,103389513,191000
Gal Costa,1061135,64,116537911,201000
Milton Nascimento,1071995,63,131714606,408000
Novos Baianos,482619,53,16193160,24900
Tom Jobim,818133,70,109454164,169000
Os Mutantes,333995,47,13847168,29400
João Gilberto,672090,65,28263662,26400
Elis Regina,1475857,64,105975178,151000
